Sample_ID,taxon,taxonomic_level,assigned_taxon_class,reads,extraction_ID,primer,PCR_replicate,alternative_ID,collection_year,collection_month,collection_day,location3,sample_type
e02801-1-18S,Actinopteri,class,Actinopteri,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Agaricales,order,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Agaricomycetes,class,Fungi,1286,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Amylocorticium cebennense,species,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Ascomycota,phylum,Fungi,160,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Ascomycota/Basidiomycota,phylum,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Auranticordis quadriverberis,species,Imbricatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Basidiomycota,phylum,Fungi,320,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Cercozoa,phylum,Imbricatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Chaetoceros,genus,Bacillariophyceae,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Coscinodiscophyceae,class,Coscinodiscophyceae,190,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Curvibasidium,genus,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Cyclotrichium cyclokaryon,species,Litostomatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Cyranomonas australis,species,Imbricatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Decapoda,order,Decapod,16185.76854,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Dichomitus squalens,species,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Ebria tripartita,species,Ebriophyceae,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Esquamula lacrimiformis,species,Imbricatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Gastropoda,class,Gastropoda,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Mamiellaceae,family,Mamiellophyceae,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Mammalia,class,Mammalia,181,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Mataza hastifera,species,Thecofilosea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Pleurocybella porrigens,species,Fungi,1261,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Polychaeta,class,Polychaeta,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Schizoporaceae,family,Fungi,973,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Strombidium biarmatum,species,Spirotrichea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Thaumatomonadida,order,Imbricatea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Tintinnidium cf. primitivum,species,Spirotrichea,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Tremellales,order,Fungi,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,Triparmaceae,family,Bolidophyceae,0,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-1-18S,NA,NA,NA,13,e02801,18S,1,162-28,2022,12,2,Haul 3,sample
e02801-2-18S,Actinopteri,class,Actinopteri,101,e02801,18S,2,162-28,2022,12,2,Haul 3,sample
