"","Sample_ID","taxon","taxonomic_level","assigned_taxon_class","reads","PCR_replicate","vial_id","collection_year","ReadsPerSample","read_prop","mid_latitude","mid_longitude","lme","Diatom_Indicator_percWT","Total_FA_Conc_WWT","gear_temperature"
"1","e02801-1-18S","Actinopteri","class","Actinopteri",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"2","e02801-1-18S","Agaricales","order","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"3","e02801-1-18S","Agaricomycetes","class","Fungi",1286,1,"162-28",2022,4371,0.294211850835049,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"4","e02801-1-18S","Amylocorticium cebennense","species","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"5","e02801-1-18S","Ascomycota","phylum","Fungi",160,1,"162-28",2022,4371,0.0366048959048273,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"6","e02801-1-18S","Ascomycota/Basidiomycota","phylum","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"7","e02801-1-18S","Auranticordis quadriverberis","species","Imbricatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"8","e02801-1-18S","Basidiomycota","phylum","Fungi",320,1,"162-28",2022,4371,0.0732097918096545,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"9","e02801-1-18S","Cercozoa","phylum","Imbricatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"10","e02801-1-18S","Chaetoceros","genus","Bacillariophyceae",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"11","e02801-1-18S","Coscinodiscophyceae","class","Coscinodiscophyceae",190,1,"162-28",2022,4371,0.0434683138869824,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"12","e02801-1-18S","Curvibasidium","genus","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"13","e02801-1-18S","Cyclotrichium cyclokaryon","species","Litostomatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"14","e02801-1-18S","Cyranomonas australis","species","Imbricatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"15","e02801-1-18S","Dichomitus squalens","species","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"16","e02801-1-18S","Ebria tripartita","species","Ebriophyceae",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"17","e02801-1-18S","Esquamula lacrimiformis","species","Imbricatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"18","e02801-1-18S","Gastropoda","class","Gastropoda",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"19","e02801-1-18S","Mamiellaceae","family","Mamiellophyceae",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"20","e02801-1-18S","Mammalia","class","Mammalia",181,1,"162-28",2022,4371,0.0414092884923358,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"21","e02801-1-18S","Mataza hastifera","species","Thecofilosea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"22","e02801-1-18S","Pleurocybella porrigens","species","Fungi",1261,1,"162-28",2022,4371,0.28849233584992,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"23","e02801-1-18S","Polychaeta","class","Polychaeta",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"24","e02801-1-18S","Schizoporaceae","family","Fungi",973,1,"162-28",2022,4371,0.222603523221231,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"25","e02801-1-18S","Strombidium biarmatum","species","Spirotrichea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"26","e02801-1-18S","Thaumatomonadida","order","Imbricatea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"27","e02801-1-18S","Tintinnidium cf. primitivum","species","Spirotrichea",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"28","e02801-1-18S","Tremellales","order","Fungi",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"29","e02801-1-18S","Triparmaceae","family","Bolidophyceae",0,1,"162-28",2022,4371,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"30","e02801-2-18S","Actinopteri","class","Actinopteri",101,2,"162-28",2022,5993.21079016,0.0168524024160518,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"31","e02801-2-18S","Agaricales","order","Fungi",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"32","e02801-2-18S","Agaricomycetes","class","Fungi",403,2,"162-28",2022,5993.21079016,0.0672427541947413,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"33","e02801-2-18S","Amylocorticium cebennense","species","Fungi",618,2,"162-28",2022,5993.21079016,0.103116680129901,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"34","e02801-2-18S","Ascomycota","phylum","Fungi",137,2,"162-28",2022,5993.21079016,0.0228591993168227,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"35","e02801-2-18S","Ascomycota/Basidiomycota","phylum","Fungi",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"36","e02801-2-18S","Auranticordis quadriverberis","species","Imbricatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"37","e02801-2-18S","Basidiomycota","phylum","Fungi",704,2,"162-28",2022,5993.21079016,0.117466250503965,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"38","e02801-2-18S","Cercozoa","phylum","Imbricatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"39","e02801-2-18S","Chaetoceros","genus","Bacillariophyceae",87.21079016,2,"162-28",2022,5993.21079016,0.0145515973346353,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"40","e02801-2-18S","Coscinodiscophyceae","class","Coscinodiscophyceae",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"41","e02801-2-18S","Curvibasidium","genus","Fungi",3651,2,"162-28",2022,5993.21079016,0.609189319019852,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"42","e02801-2-18S","Cyclotrichium cyclokaryon","species","Litostomatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"43","e02801-2-18S","Cyranomonas australis","species","Imbricatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"44","e02801-2-18S","Dichomitus squalens","species","Fungi",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"45","e02801-2-18S","Ebria tripartita","species","Ebriophyceae",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"46","e02801-2-18S","Esquamula lacrimiformis","species","Imbricatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"47","e02801-2-18S","Gastropoda","class","Gastropoda",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"48","e02801-2-18S","Mamiellaceae","family","Mamiellophyceae",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"49","e02801-2-18S","Mammalia","class","Mammalia",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"50","e02801-2-18S","Mataza hastifera","species","Thecofilosea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"51","e02801-2-18S","Pleurocybella porrigens","species","Fungi",292,2,"162-28",2022,5993.21079016,0.0487217970840309,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"52","e02801-2-18S","Polychaeta","class","Polychaeta",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"53","e02801-2-18S","Schizoporaceae","family","Fungi",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"54","e02801-2-18S","Strombidium biarmatum","species","Spirotrichea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"55","e02801-2-18S","Thaumatomonadida","order","Imbricatea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"56","e02801-2-18S","Tintinnidium cf. primitivum","species","Spirotrichea",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
"57","e02801-2-18S","Tremellales","order","Fungi",0,2,"162-28",2022,5993.21079016,0,62.32656,-174.58062,"NBS",1.766899517,196.1310884,-1.5
